,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
31-05-2017,32266,75201,65642,20982,99542,61205,14090,51854,54038,69587,0606,0408,7250,1593,7066,0382,6379,9729,0992,5354,332,662,129,48,84,18,49
01-06-2017,98130,13986,06154,56366,36558,68777,78805,08491,75795,80149,5011,5848,0751,8786,0400,8009,8507,8993,9774,0275,825,696,678,33,23,17,15
02-06-2017,81736,97437,22139,97346,84270,92394,07500,71089,75601,35640,8521,7950,0487,5841,6953,0287,1777,2358,0575,9453,437,814,566,88,08,15,93
03-06-2017,40346,35745,23722,92880,76855,50121,17343,40141,24605,95853,2169,5153,8245,9736,2356,3955,5384,3985,8494,2631,614,214,705,85,08,33,37
04-06-2017,38585,54469,54045,07641,50756,64193,61519,81750,99825,95194,7890,2773,0920,5527,3430,7491,0331,1017,6988,4110,395,197,694,49,15,16,36
05-06-2017,86420,75341,47810,72805,19478,94678,05349,68688,14307,66833,0765,7350,2576,9806,9289,2998,6725,3883,0685,3462,075,518,554,35,97,85,71
06-06-2017,29539,92754,56413,83872,25810,35909,05893,74510,63776,04121,9051,2501,7477,5676,0411,0004,5901,0680,0754,2104,640,628,423,76,62,37,16
07-06-2017,35870,58684,10480,90593,22998,98712,87938,61348,99680,20394,0440,9718,2648,0663,9024,2810,2959,1649,4915,6175,862,175,754,76,15,36,78
08-06-2017,29887,94681,33618,87113,95822,39311,36093,43181,28847,53854,9075,8393,8558,2164,7640,5730,1046,0573,4241,5061,085,873,767,74,17,94,76
09-06-2017,91192,72245,95044,76236,10434,96009,30321,17229,09735,54498,7384,1730,9115,3018,1193,3180,7438,7503,6950,0925,457,807,337,42,77,74,38
10-06-2017,43869,45517,11578,32847,60616,79535,84009,30092,57153,52890,2462,4100,2394,6162,6648,5432,2851,2311,5927,8758,789,942,244,28,48,32,70
11-06-2017,18721,78149,82235,32353,29327,15635,57535,37974,11551,92161,1467,2121,4416,0816,6285,3137,9761,7053,6015,9892,004,620,978,87,38,57,85
